age,workClass,fnlwgt,education,educNum,mariStat,occup,relationship,origEthn,sex,capitalGain,capitalLoss,hoursWeek,nativCountry,income,LcapitalGain,LcapitalLoss,ageQ,hoursWeekQ
39,Other-Govt,77516,Bachelors,13,Never-Married,Admin,Not-in-family,White,Male,cgLow,None,40,United-States,incLow,7.68478394352278,0,Ag3,HW2
50,Self-Employed,83311,Bachelors,13,Married,White-Collar,Husband,White,Male,None,None,13,United-States,incLow,0,0,Ag4,HW1
38,Private,215646,HS-grad,9,Not-Married,Blue-Collar,Not-in-family,White,Male,None,None,40,United-States,incLow,0,0,Ag3,HW2
53,Private,234721,Dropout,7,Married,Blue-Collar,Husband,Black,Male,None,None,40,United-States,incLow,0,0,Ag5,HW2
28,Private,338409,Bachelors,13,Married,Professional,Wife,Black,Female,None,None,40,Other,incLow,0,0,Ag2,HW2
37,Private,284582,Masters,14,Married,White-Collar,Wife,White,Female,None,None,40,United-States,incLow,0,0,Ag3,HW2
49,Private,160187,Dropout,5,Not-Married,Service,Not-in-family,Black,Female,None,None,16,Latin-America,incLow,0,0,Ag4,HW1
52,Self-Employed,209642,HS-grad,9,Married,White-Collar,Husband,White,Male,None,None,45,United-States,incHigh,0,0,Ag5,HW3
31,Private,45781,Masters,14,Never-Married,Professional,Not-in-family,White,Female,cgHigh,None,50,United-States,incHigh,9.55286568031047,0,Ag2,HW3
42,Private,159449,Bachelors,13,Married,White-Collar,Husband,White,Male,cgLow,None,40,United-States,incHigh,8.55236726642389,0,Ag4,HW2
37,Private,280464,HS-Graduate,10,Married,White-Collar,Husband,Black,Male,None,None,80,United-States,incHigh,0,0,Ag3,HW3
30,Other-Govt,141297,Bachelors,13,Married,Professional,Husband,Asian,Male,None,None,40,British-Commonwealth,incHigh,0,0,Ag2,HW2
23,Private,122272,Bachelors,13,Never-Married,Admin,Own-child,White,Female,None,None,30,United-States,incLow,0,0,Ag1,HW1
32,Private,205019,Associates,12,Never-Married,Sales,Not-in-family,Black,Male,None,None,50,United-States,incLow,0,0,Ag2,HW3
34,Private,245487,Dropout,4,Married,Blue-Collar,Husband,Amer-Indian,Male,None,None,45,Latin-America,incLow,0,0,Ag3,HW3
25,Self-Employed,176756,HS-grad,9,Never-Married,Blue-Collar,Own-child,White,Male,None,None,35,United-States,incLow,0,0,Ag1,HW1
32,Private,186824,HS-grad,9,Never-Married,Blue-Collar,Unmarried,White,Male,None,None,40,United-States,incLow,0,0,Ag2,HW2
38,Private,28887,Dropout,7,Married,Sales,Husband,White,Male,None,None,50,United-States,incLow,0,0,Ag3,HW3
43,Self-Employed,292175,Masters,14,Not-Married,White-Collar,Unmarried,White,Female,None,None,45,United-States,incHigh,0,0,Ag4,HW3
40,Private,193524,Doctorate,16,Married,Professional,Husband,White,Male,None,None,60,United-States,incHigh,0,0,Ag3,HW3
54,Private,302146,HS-grad,9,Not-Married,Service,Unmarried,Black,Female,None,None,20,United-States,incLow,0,0,Ag5,HW1
35,Federal-Govt,76845,Dropout,5,Married,Blue-Collar,Husband,Black,Male,None,None,40,United-States,incLow,0,0,Ag3,HW2
43,Private,117037,Dropout,7,Married,Blue-Collar,Husband,White,Male,None,clHigh,40,United-States,incLow,0,7.62217459481762,Ag4,HW2
59,Private,109015,HS-grad,9,Not-Married,Other-occups,Unmarried,White,Female,None,None,40,United-States,incLow,0,0,Ag5,HW2
56,Other-Govt,216851,Bachelors,13,Married,Other-occups,Husband,White,Male,None,None,40,United-States,incHigh,0,0,Ag5,HW2
19,Private,168294,HS-grad,9,Never-Married,Blue-Collar,Own-child,White,Male,None,None,40,United-States,incLow,0,0,Ag1,HW2
39,Private,367260,HS-grad,9,Not-Married,White-Collar,Not-in-family,White,Male,None,None,80,United-States,incLow,0,0,Ag3,HW3
49,Private,193366,HS-grad,9,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,incLow,0,0,Ag4,HW2
23,Other-Govt,190709,Associates,12,Never-Married,Other-occups,Not-in-family,White,Male,None,None,52,United-States,incLow,0,0,Ag1,HW3
20,Private,266015,HS-Graduate,10,Never-Married,Sales,Own-child,Black,Male,None,None,44,United-States,incLow,0,0,Ag1,HW3
45,Private,386940,Bachelors,13,Not-Married,White-Collar,Own-child,White,Male,None,clLow,40,United-States,incLow,0,7.25063551189868,Ag4,HW2
30,Federal-Govt,59951,HS-Graduate,10,Married,Admin,Own-child,White,Male,None,None,40,United-States,incLow,0,0,Ag2,HW2
22,Other-Govt,311512,HS-Graduate,10,Married,Service,Husband,Black,Male,None,None,15,United-States,incLow,0,0,Ag1,HW1
48,Private,242406,Dropout,7,Never-Married,Blue-Collar,Unmarried,White,Male,None,None,40,Latin-America,incLow,0,0,Ag4,HW2
21,Private,197200,HS-Graduate,10,Never-Married,Blue-Collar,Own-child,White,Male,None,None,40,United-States,incLow,0,0,Ag1,HW2
19,Private,544091,HS-grad,9,Married,Admin,Wife,White,Female,None,None,25,United-States,incLow,0,0,Ag1,HW1
48,Self-Employed,265477,Associates,12,Married,Professional,Husband,White,Male,None,None,40,United-States,incLow,0,0,Ag4,HW2
31,Private,507875,Dropout,5,Married,Blue-Collar,Husband,White,Male,None,None,43,United-States,incLow,0,0,Ag2,HW3
53,Self-Employed,88506,Bachelors,13,Married,Professional,Husband,White,Male,None,None,40,United-States,incLow,0,0,Ag5,HW2
24,Private,172987,Bachelors,13,Married,Other-occups,Husband,White,Male,None,None,50,United-States,incLow,0,0,Ag1,HW3
49,Private,94638,HS-grad,9,Not-Married,Admin,Unmarried,White,Female,None,None,40,United-States,incLow,0,0,Ag4,HW2
25,Private,289980,HS-grad,9,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,35,United-States,incLow,0,0,Ag1,HW1
57,Federal-Govt,337895,Bachelors,13,Married,Professional,Husband,Black,Male,None,None,40,United-States,incHigh,0,0,Ag5,HW2
53,Private,144361,HS-grad,9,Married,Blue-Collar,Husband,White,Male,None,None,38,United-States,incLow,0,0,Ag5,HW1
44,Private,128354,Masters,14,Not-Married,White-Collar,Unmarried,White,Female,None,None,40,United-States,incLow,0,0,Ag4,HW2
41,Other-Govt,101603,Associates,11,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,incLow,0,0,Ag3,HW2
29,Private,271466,Associates,11,Never-Married,Professional,Not-in-family,White,Male,None,None,43,United-States,incLow,0,0,Ag2,HW3
25,Private,32275,HS-Graduate,10,Married,White-Collar,Wife,Other,Female,None,None,40,United-States,incLow,0,0,Ag1,HW2
47,Private,51835,Prof-School,15,Married,Professional,Wife,White,Female,None,clHigh,60,Latin-America,incHigh,0,7.55118686729615,Ag4,HW3
50,Federal-Govt,251585,Bachelors,13,Not-Married,White-Collar,Not-in-family,White,Male,None,None,55,United-States,incHigh,0,0,Ag4,HW3
47,Self-Employed,109832,HS-grad,9,Not-Married,White-Collar,Not-in-family,White,Male,None,None,60,United-States,incLow,0,0,Ag4,HW3
43,Private,237993,HS-Graduate,10,Married,Other-occups,Husband,White,Male,None,None,40,United-States,incHigh,0,0,Ag4,HW2
46,Private,216666,Dropout,3,Married,Blue-Collar,Husband,White,Male,None,None,40,Latin-America,incLow,0,0,Ag4,HW2
35,Private,56352,Associates,11,Married,Service,Husband,White,Male,None,None,40,Latin-America,incLow,0,0,Ag3,HW2
41,Private,147372,HS-grad,9,Married,Admin,Husband,White,Male,None,None,48,United-States,incLow,0,0,Ag3,HW3
30,Private,188146,HS-grad,9,Married,Blue-Collar,Husband,White,Male,cgLow,None,40,United-States,incLow,8.51998927871824,0,Ag2,HW2
