"SEXEQ" "FAMIQ" "PCSPQ" "kvunbq" "vienbq" "uemnbq" "xlgnbq" "ylvnbq" "rocnbq" "nptagq" "endetq" "gagetq" "facanq" "lgagtq" "havefq" "jnbjdq" "ageq" "relatq" "qsmoyq" "opgnbq" "moyrvq" "tavepq" "dmvtpq" "boppnq" "itavcq" "RELAT" "AGER" "OPGNBL" "MOYRVL" "TAVEPL" "ENDETL" "GAGETL" "GAGECL" "GAGEML" "KVUNB" "QSMOY" "QCREDL" "DMVTPL" "BOPPNL" "FACANL" "LGAGTL" "VIENB" "VIEMTL" "UEMNB" "XLGNB" "XLGMTL" "YLVNB" "YLVMTL" "ROCNB" "NPTAG" "ITAVCL" "HAVEFL" "JNBJDL" "CARVP"
"148009" "Shom" "Fcou" "Pint" "K1" "V1" "U2" "X2" "Y2" "R1" "N0" "E1" "G1" "F1" "L0" "H1" "J1" "A2" "R2" "Q2" "O0" "M2" "T2" "D0" "B2" "I2" 238 51 0 4.75359019110636 13.4616032092697 1.6094379124341 11.6887006408941 0 11.6887006408941 2 35938 4.74493212836325 2.484906649788 3.91202300542815 12.2357139686386 0 1 11.9351231330598 4 2 13.1618648203801 2 12.110634957597 14 0 14.0807177006982 13.2302630666307 0.693147180559945 "Coui"
"552427" "Shom" "Fcou" "Pint" "K0" "V0" "U1" "X0" "Y1" "R0" "N0" "E0" "G0" "F1" "L0" "H0" "J0" "A2" "R1" "Q0" "O0" "M2" "T1" "D1" "B0" "I2" 139 58 0 3.71357206670431 8.13241267450091 0 0 0 0 1 1336 3.71357206670431 2.70805020110221 1.09861228866811 8.1300590399928 0 0 0 1 0 0 1 8.13241267450091 0 0 11.7178724585678 0 0 "Coui"
"556005" "Shom" "Fseu" "Psan" "K0" "V0" "U2" "X1" "Y2" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "J0" "A0" "R1" "Q2" "O0" "M1" "T2" "D0" "B1" "I2" 99 27 0 2.89037175789616 11.2427165112295 0 0 0 0 1 12221 2.89037175789616 2.484906649788 3.17805383034795 0 0 0 0 3 1 10.7431779782015 2 10.3092859384344 14 0 11.3293030624432 0 0 "Coui"
"556686" "Shom" "Fseu" "Pouv" "K0" "V1" "U2" "X2" "Y2" "R1" "N1" "E0" "G1" "F0" "L0" "H1" "J1" "A1" "R1" "Q2" "O0" "M2" "T2" "D0" "B2" "I2" 89 49 0 5.92692602597041 13.0675924641565 0 12.2503909209311 10.5416504247633 12.0506111069028 1 21187 5.34233425196481 2.484906649788 3.91202300542815 0 0 1 9.97226706793095 5 3 12.8992198260901 2 11.2030250497297 11 1 13.1118563716364 9.97226706793095 2.77258872223978 "Coui"
"642680" "Shom" "Fcou" "Pint" "K0" "V0" "U2" "X1" "Y2" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "J1" "A2" "R2" "Q1" "O2" "M2" "T2" "D0" "B2" "I2" 216 64 1.79175946922805 3.2188758248682 11.2703824550764 0 0 0 0 1 7154 3.2188758248682 2.484906649788 4.21950770517611 0 0 0 0 4 1 10.4579759320367 2 9.190545744648 27 0 11.3049044889261 0 1.38629436111989 "Coui"
"643508" "Shom" "Fseu" "Pouv" "K0" "V0" "U0" "X0" "Y0" "R1" "N0" "E1" "G1" "F1" "L0" "H0" "J1" "A1" "R2" "Q1" "O2" "M2" "T0" "D1" "B1" "I1" 188 38 1.09861228866811 3.29583686600433 0 1.79175946922805 10.2689636524279 10.2689636524279 0 1 7122 3.29583686600433 2.70805020110221 3.61091791264422 10.6607825529198 0 0 0 0 0 0 0 0 13 0 9.59607884990031 0 2.63905732961526 "Coui"
"808224" "Sfem" "Fcou" "Pint" "K1" "V0" "U2" "X1" "Y1" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "J2" "A1" "R1" "Q1" "O2" "M2" "T2" "D0" "B2" "I2" 135 46 1.09861228866811 3.71357206670431 11.4809909429399 0 0 0 0 2 6531 3.2188758248682 2.484906649788 3.95124371858143 0 0 0 0 2 1 10.5655567775252 1 10.9696110841675 27 0 11.5648915329948 0 3.58351893845611 "Coui"
"941007" "Shom" "Fcou" "Psan" "K0" "V0" "U2" "X2" "Y0" "R1" "N0" "E0" "G0" "F1" "L0" "H1" "J0" "A1" "R2" "Q2" "O1" "M2" "T2" "D0" "B2" "I2" 393 45 0.693147180559945 4.02535169073515 12.4927241871674 0 0 0 0 1 83717 3.66356164612965 2.484906649788 3.68887945411394 9.92822894442457 0 0 0 2 2 12.4927241871674 0 0 15 0 12.6471590479308 7.28138566357028 0 "Coui"
"981681" "Shom" "Fseu" "Pint" "K0" "V1" "U2" "X2" "Y1" "R0" "N0" "E1" "G1" "F0" "L1" "H1" "J2" "A1" "R0" "Q1" "O1" "M2" "T1" "D2" "B1" "I2" 63 38 0.693147180559945 3.49650756146648 9.16931002241819 2.484906649788 13.8979132479184 7.69211333959547 12.3677704880283 1 3524 3.49650756146648 2.94443897916644 2.77258872223978 0 13.6513467469786 2 11.4943031408421 3 2 9.10863981714984 1 6.33859407820318 0 0 11.9763827133459 11.9141080829602 3.46573590279973 "Coui"
"1231602" "Shom" "Fcou" "Pint" "K0" "V0" "U2" "X1" "Y2" "R1" "N0" "E0" "G1" "F0" "L0" "H1" "J1" "A2" "R2" "Q2" "O2" "M2" "T2" "D0" "B2" "I2" 321 60 1.09861228866811 3.87120101090789 11.9464531108433 0 7.15305163493748 7.15305163493748 0 1 9994 3.80666248977032 2.484906649788 4.39444915467244 0 0 0 0 4 1 9.91576191341152 2 11.2840530349224 11 0 12.0723640943569 9.91348738711446 1.94591014905531 "Coui"
"1248922" "Shom" "Fseu" "Pouv" "K0" "V0" "U2" "X2" "Y0" "R1" "N0" "E1" "G1" "F0" "L1" "H0" "J1" "A0" "R2" "Q2" "O2" "M2" "T2" "D0" "B2" "I1" 362 34 1.09861228866811 3.49650756146648 10.7981868581668 3.04452243772342 13.1589999854012 9.17988116449147 11.5618013397521 1 9201 3.49650756146648 2.484906649788 4.51085950651685 0 12.9090488624587 0 0 2 2 10.7981868581668 0 0 40 0 10.7981868581668 0 1.6094379124341 "Coui"
"1252395" "Shom" "Fcou" "Pemp" "K1" "V1" "U2" "X2" "Y2" "R1" "N0" "E0" "G0" "F0" "L0" "H1" "J0" "A2" "R2" "Q2" "O2" "M2" "T2" "D0" "B2" "I2" 187 56 2.39789527279837 4.20469261939097 12.3138008559852 0 0 0 0 2 11744 4.20469261939097 2.484906649788 4.52178857704904 0 0 1 11.4879358082666 4 2 11.5773827328068 2 11.6621382591964 3 0 12.916556179337 11.4879358082666 0 "Coui"
"1343806" "Shom" "Fcou" "Pint" "K0" "V1" "U2" "X2" "Y1" "R1" "N0" "E1" "G1" "F1" "L1" "H1" "J0" "A1" "R2" "Q2" "O2" "M2" "T2" "D0" "B2" "I2" 209 49 1.09861228866811 4.52178857704904 12.6722627625727 2.19722457733622 13.2306292683689 9.97282703061474 0 1 54858 4.52178857704904 2.484906649788 3.63758615972639 11.7414385743701 13.1913986479924 2 12.5425448821514 3 2 12.5680385675255 1 10.3594239506121 4 0 13.6889649932388 13.1231850397474 0 "Coui"
"1544241" "Sfem" "Fseu" "Psan" "K0" "V1" "U2" "X2" "Y0" "R1" "N0" "E0" "G1" "F0" "L0" "H1" "J1" "A2" "R2" "Q1" "O2" "M1" "T2" "D0" "B1" "I2" 185 61 1.09861228866811 2.77258872223978 12.3012009906218 0 7.67508185771633 7.67508185771633 0 1 6293 2.70805020110221 2.484906649788 3.36729582998647 0 0 2 10.8302235422718 4 2 11.4573598995205 0 0 12 0 13.289743870329 12.8206581045484 1.6094379124341 "Coui"
"1740892" "Sfem" "Fseu" "Psan" "K1" "V1" "U2" "X1" "Y2" "R0" "N0" "E0" "G0" "F1" "L0" "H1" "J1" "A1" "R2" "Q2" "O2" "M2" "T1" "D0" "B1" "I2" 268 41 2.07944154167984 4.00733318523247 9.8870532460727 0 0 0 0 2 19467 3.97029191355212 2.484906649788 3.13549421592915 11.79279711533 0 13 14.8963111561057 3 1 8.57565076098781 2 9.57317629802839 0 0 15.0768628183652 15.0697187673101 1.6094379124341 "Coui"
"1970765" "Shom" "Fcou" "Pint" "K1" "V1" "U2" "X1" "Y2" "R0" "N0" "E1" "G1" "F0" "L0" "H1" "J1" "A2" "R1" "Q2" "O2" "M2" "T2" "D0" "B2" "I2" 94 50 2.63905732961526 5.4971682252932 13.0227220316274 1.09861228866811 10.8407566907955 0 10.8407566907955 2 39226 5.4971682252932 2.484906649788 4.48863636973214 0 0 1 11.8172065090774 4 1 7.74975340627444 2 12.9526966099286 0 0 14.0274151885499 13.459815134139 2.19722457733622 "Coui"
"2647067" "Shom" "Fseu" "Pcad" "K0" "V0" "U1" "X0" "Y1" "R1" "N0" "E1" "G1" "F1" "L0" "H0" "J0" "A1" "R1" "Q1" "O1" "M2" "T1" "D0" "B2" "I1" 85 43 0.693147180559945 3.13549421592915 10.2916030223092 2.56494935746154 11.3362956792714 0 11.3362956792714 1 4340 3.13549421592915 2.484906649788 3.73766961828337 11.3385839825165 0 0 0 1 0 0 1 10.2916030223092 12 0 10.6582706081295 0 0 "Coui"
"2849823" "Shom" "Fseu" "Psan" "K1" "V0" "U2" "X2" "Y0" "R1" "N0" "E1" "G1" "F0" "L1" "H0" "J0" "A0" "R0" "Q2" "O0" "M2" "T1" "D0" "B2" "I1" 75 26 0 3.73766961828337 10.2461193514727 2.19722457733622 12.42763895365 0 0 2 13329 3.73766961828337 2.484906649788 3.89182029811063 0 12.42763895365 0 0 2 2 10.2461193514727 0 0 38 0 10.9262801484821 0 0 "Coui"
"3258308" "Shom" "Fcou" "Pint" "K1" "V0" "U2" "X1" "Y2" "R1" "N0" "E1" "G1" "F0" "L0" "H1" "J2" "A2" "R0" "Q1" "O2" "M2" "T2" "D0" "B2" "I2" 38 52 1.38629436111989 3.98898404656427 10.8764232331162 1.94591014905531 12.5126378049835 0 12.5126378049835 2 6333 3.98898404656427 2.484906649788 4.29045944114839 0 0 0 0 3 1 7.70391020961631 2 10.8336417410694 29 0 12.0188390443752 8.65765054411149 4.46590811865458 "Coui"
"3346139" "Shom" "Fseu" "Pint" "K0" "V0" "U2" "X2" "Y1" "R1" "N0" "E0" "G0" "F1" "L0" "H1" "J0" "A0" "R1" "Q2" "O0" "M1" "T2" "D0" "B1" "I2" 147 32 0 2.70805020110221 11.7891471169572 0 0 0 0 1 20105 2.70805020110221 2.484906649788 3.04452243772342 10.8754778568807 0 0 0 3 2 11.6956136212251 1 9.37339415841248 4 0 12.5071027355015 11.7505950014605 0 "Coui"
"3901483" "Shom" "Fseu" "Pint" "K0" "V0" "U1" "X0" "Y1" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "J0" "A0" "R1" "Q2" "O0" "M2" "T1" "D1" "B2" "I1" 162 33 0 3.13549421592915 9.69910441893965 0 0 0 0 1 8192 2.99573227355399 2.70805020110221 3.87120101090789 0 0 0 0 1 0 0 1 9.69910441893965 23 0 9.70063670448968 0 0 "Coui"
"5023873" "Sfem" "Fcou" "Pouv" "K1" "V0" "U0" "X0" "Y0" "R0" "N0" "E1" "G1" "F0" "L0" "H0" "J2" "A1" "R0" "Q2" "O1" "M0" "T0" "D0" "B0" "I0" 18 43 0.693147180559945 0 0 4.06044301054642 11.5144043708496 4.99721227376411 11.5129354649202 3 15712 0 2.484906649788 2.19722457733622 0 0 0 0 0 0 0 0 0 0 0 1.6094379124341 0 3.87120101090789 "Coui"
"5044500" "Shom" "Fseu" "Pint" "K0" "V0" "U1" "X0" "Y1" "R0" "N0" "E0" "G1" "F1" "L0" "H0" "J1" "A0" "R0" "Q0" "O0" "M0" "T0" "D0" "B0" "I0" 10 28 0 0 4.61512051684126 0 5.84643877505772 5.84643877505772 0 1 -91 0 2.484906649788 1.09861228866811 10.1064692120264 0 0 0 1 0 0 1 4.61512051684126 0 0 4.61512051684126 0 1.38629436111989 "Coui"
"5064228" "Shom" "Fseu" "Pouv" "K0" "V0" "U0" "X0" "Y0" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "J0" "A1" "R0" "Q2" "O0" "M2" "T0" "D1" "B1" "I0" 3 48 0 3.29583686600433 0 0 0 0 0 1 14412 3.29583686600433 2.70805020110221 3.3322045101752 0 0 0 0 0 0 0 0 0 23 0 7.80628928926703 0 0 "Coui"
"5068163" "Sfem" "Fseu" "Pint" "K0" "V0" "U1" "X0" "Y1" "R0" "N0" "E0" "G0" "F1" "L0" "H0" "J0" "A1" "R0" "Q2" "O2" "M2" "T2" "D0" "B0" "I1" 1 41 1.38629436111989 4.39444915467244 10.5891316552749 0 0 0 0 1 10009 4.39444915467244 2.484906649788 2.30258509299405 8.34307787116938 0 0 0 1 0 0 1 10.5891316552749 0 0 11.0037484814498 0 0 "Coui"
"5068673" "Shom" "Fcou" "Pint" "K0" "V0" "U1" "X1" "Y0" "R0" "N0" "E0" "G1" "F0" "L0" "H0" "J0" "A0" "R0" "Q1" "O0" "M1" "T1" "D0" "B1" "I1" 1 33 0 2.19722457733622 9.47278155656217 0 7.84932381804056 7.84932381804056 0 1 1696 2.07944154167984 2.484906649788 2.63905732961526 0 0 0 0 1 1 9.47278155656217 0 0 0 0 9.47278155656217 0 0 "Coui"
"5069492" "Shom" "Fseu" "Pint" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "J0" "A2" "R0" "Q1" "O1" "M1" "T0" "D2" "B0" "I1" 1 53 0.693147180559945 2.19722457733622 0 0 0 0 0 1 3412 2.19722457733622 2.77258872223978 1.09861228866811 0 0 0 0 0 0 0 0 0 0 0 10.0942318714037 0 0 "Coui"
"5069907" "Shom" "Fcou" "Pint" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E0" "G1" "F0" "L0" "H0" "J1" "A1" "R0" "Q0" "O0" "M0" "T0" "D2" "B0" "I0" 1 37 0 0 0 0 10.5966597327836 10.5966597327836 0 1 -20000 0 2.83321334405622 0.693147180559945 0 0 0 0 0 0 0 0 0 0 0 0 0 1.38629436111989 "Coui"
"7534429" "Sfem" "Fcou" "Pint" "K0" "V0" "U1" "X0" "Y1" "R0" "N0" "E0" "G0" "F0" "L0" "H1" "J0" "A2" "R0" "Q2" "O1" "M2" "T1" "D2" "B0" "I2" 2 63 0.693147180559945 3.3322045101752 10.3310402571083 0 0 0 0 1 9871 2.89037175789616 2.94443897916644 1.94591014905531 0 0 0 0 1 0 0 1 10.3310402571083 0 0 12.3446599852862 11.9053796299929 0 "Coui"
"133439" "Shom" "Fcou" "Pouv" "K0" "V1" "U2" "X0" "Y2" "R1" "N0" "E1" "G1" "F1" "L1" "H1" "J1" "A1" "R2" "Q2" "O2" "M2" "T1" "D0" "B2" "I2" 337 48 1.38629436111989 3.80666248977032 7.66199755890189 2.99573227355399 13.2780517315471 0 0 1 13834 3.80666248977032 2.56494935746154 4.31748811353631 11.141876276228 13.2780517315471 2 9.99820664859396 2 0 0 2 7.66199755890189 28 0 11.321982853444 10.8438658359393 2.07944154167984 "Coui"
"543448" "Sfem" "Fcou" "Pcad" "K0" "V1" "U2" "X2" "Y0" "R0" "N0" "E1" "G1" "F1" "L0" "H1" "J1" "A2" "R2" "Q2" "O1" "M2" "T2" "D0" "B1" "I2" 255 65 0.693147180559945 4.27666611901606 10.685446571615 2.89037175789616 11.7555657144361 0 11.7555657144361 1 16348 3.89182029811063 2.56494935746154 3.29583686600433 11.7621343448056 0 3 11.9588733100573 2 2 10.685446571615 0 0 0 0 12.2249238399655 11.9588733100573 1.79175946922805 "Coui"
"945822" "Sfem" "Fseu" "Pouv" "K0" "V0" "U2" "X2" "Y0" "R1" "N0" "E0" "G0" "F0" "L0" "H1" "J0" "A2" "R2" "Q0" "O1" "M0" "T2" "D0" "B1" "I2" 386 62 0.693147180559945 1.79175946922805 12.1285272336827 0 0 0 0 1 1070 1.79175946922805 2.56494935746154 2.63905732961526 0 0 0 0 2 2 12.1285272336827 0 0 1 0 12.5438048024041 11.3175551421266 0 "Coui"
"1231284" "Shom" "Fcou" "Pint" "K0" "V0" "U2" "X2" "Y1" "R1" "N0" "E0" "G0" "F1" "L0" "H1" "J1" "A2" "R2" "Q2" "O2" "M2" "T2" "D0" "B2" "I2" 363 62 1.09861228866811 3.80666248977032 12.3186242432685 0 0 0 0 1 10837 3.80666248977032 2.56494935746154 3.89182029811063 11.0588109327883 0 0 0 3 2 12.1653131490569 1 10.3676931556669 11 0 12.4640117487827 5.70711026474888 0.693147180559945 "Coui"
"1252382" "Shom" "Fseu" "Pemp" "K0" "V0" "U2" "X2" "Y1" "R1" "N0" "E1" "G1" "F0" "L1" "H0" "J2" "A0" "R2" "Q1" "O1" "M1" "T1" "D0" "B1" "I1" 189 35 0.693147180559945 2.99573227355399 9.85864707806297 3.43398720448515 12.4648072538352 0 9.70057545812617 1 5360 2.99573227355399 2.56494935746154 3.52636052461616 0 12.3997132330438 0 0 3 2 9.84384369960861 1 5.64190707093811 10 0 9.95356260516843 0 3.40119738166216 "Coui"
"1334438" "Shom" "Fcou" "Pint" "K0" "V0" "U2" "X1" "Y2" "R1" "N1" "E1" "G1" "F1" "L1" "H1" "J1" "A1" "R0" "Q2" "O2" "M2" "T2" "D0" "B2" "I2" 54 46 1.09861228866811 3.36729582998647 11.7155233930351 2.83321334405622 12.6329860848442 0 10.7011523936513 1 17289 3.36729582998647 2.56494935746154 4.07753744390572 10.703266939812 12.4764737586071 0 0 4 1 10.6556109381964 2 11.2767093386675 18 1 12.1281705617523 11.0396203919514 0.693147180559945 "Coui"
"1560224" "Shom" "Fseu" "Pouv" "K1" "V0" "U2" "X1" "Y1" "R1" "N1" "E1" "G1" "F0" "L0" "H1" "J1" "A0" "R1" "Q2" "O2" "M2" "T1" "D0" "B2" "I2" 90 34 1.79175946922805 4.27666611901606 9.99911586354954 0.693147180559945 11.6255753485149 0 11.6255753485149 2 14387 4.21950770517611 2.56494935746154 4.27666611901606 0 0 0 0 2 1 8.81269461292015 1 9.63488889456061 10 1 11.8780615126017 11.3332005340235 2.19722457733622 "Coui"
"1740529" "Shom" "Fcou" "Pouv" "K0" "V0" "U1" "X1" "Y0" "R1" "N0" "E0" "G1" "F1" "L1" "H1" "J2" "A1" "R2" "Q0" "O0" "M2" "T0" "D2" "B1" "I0" 282 44 0 3.17805383034795 0 0 11.5052460536264 10.6446388741445 0 1 -33676 3.17805383034795 2.77258872223978 3.61091791264422 8.1318247850072 10.9555147440865 0 0 1 1 0 0 0 11 0 5.30330490805908 5.30330490805908 4.36944785246702 "Coui"
"2448202" "Shom" "Fseu" "Pouv" "K1" "V1" "U2" "X2" "Y2" "R1" "N0" "E1" "G1" "F0" "L1" "H1" "J1" "A1" "R1" "Q2" "O2" "M2" "T2" "D0" "B1" "I2" 101 40 1.38629436111989 3.49650756146648 13.2340907813444 2.63905732961526 11.1530453900825 0 10.6856752998868 2 19163 3.49650756146648 2.56494935746154 3.46573590279973 0 10.1678498196663 2 10.1717574214664 4 2 13.080002699718 2 11.2878174854297 8 0 13.5137850024629 11.8340229709614 0.693147180559945 "Coui"
"2454856" "Shom" "Fcou" "Pemp" "K0" "V0" "U0" "X0" "Y0" "R1" "N1" "E0" "G0" "F1" "L0" "H0" "J0" "A2" "R1" "Q2" "O0" "M2" "T0" "D2" "B2" "I2" 113 54 0 4.40671924726425 0 0 0 0 0 1 167799 4.40671924726425 2.77258872223978 3.66356164612965 11.3385839825165 0 0 0 0 0 0 0 0 19 2 12.3033536093361 0 0 "Coui"
"2850436" "Shom" "Fcou" "Pemp" "K0" "V0" "U2" "X0" "Y2" "R1" "N0" "E1" "G1" "F0" "L0" "H0" "J2" "A2" "R0" "Q0" "O1" "M1" "T1" "D2" "B1" "I0" 63 53 0.693147180559945 2.484906649788 6.21660610108486 3.98898404656427 11.0955142858437 9.74747681053197 10.7947681214061 1 -11896 2.484906649788 2.77258872223978 3.25809653802148 0 0 0 0 2 0 0 2 6.21660610108486 12 0 6.21660610108486 0 4.18965474202643 "Coui"
"4004405" "Shom" "Fcou" "Pint" "K0" "V1" "U2" "X1" "Y2" "R1" "N0" "E0" "G1" "F0" "L0" "H1" "J2" "A0" "R1" "Q0" "O0" "M2" "T2" "D0" "B2" "I2" 144 34 0 5.14749447681345 12.2938728779582 0 10.3571077025313 9.95422819423931 9.25339986143663 1 -12246 4.65396035015752 2.56494935746154 4.00733318523247 0 0 1 9.88170196046421 3 1 11.1324553627514 2 11.9183972397228 21 0 12.7997530194695 11.876004856582 4.48863636973214 "Coui"
