"classe" "X" "Y"
"1" "1" 0.7821439017 -1.3902639773
"2" "0" 2.0111488081 0.1801087333
"3" "1" -0.7513546793 -2.2022805415
"4" "0" 2.0342274121 -0.3333101867
"5" "1" -0.27825855 -0.0885055449
"6" "0" -0.2680660134 0.2834915095
"7" "1" -1.042928912 1.0556757066
"8" "1" -0.053423802 -0.7295884484
"9" "0" 0.0813842599 -0.0589790394
"10" "0" 0.2263798507 1.5016880226
"11" "1" 1.1206566862 -0.3973393223
"12" "0" 0.3851165015 0.0592816992
"13" "0" 1.9142777741 -0.8273295961
"14" "0" 0.0277096066 2.2053729971
"15" "0" 2.1649187343 0.5356626003
"16" "0" 0.7810995344 0.2591868712
"17" "1" -2.4270178888 1.4666362219
"18" "0" 0.0717437512 -0.3324791929
"19" "0" 1.970862436 1.50372486
"20" "1" 0.1723202312 -0.9501235005
"21" "0" 0.2830683473 1.8784305195
"22" "0" -0.1737827631 -0.0753446654
"23" "0" 2.1543169331 0.7344087815
"24" "0" 2.112726549 0.1343188452
"25" "0" 1.9106758728 -0.4977972061
"26" "0" -0.3022714868 2.2424952065
"27" "1" 1.2238868354 0.6026401786
"28" "1" -1.4153475996 -1.9253402015
"29" "1" 0.6806923674 0.1669207291
"30" "1" 0.8069125947 0.0969964877
"31" "0" 2.1453169876 -0.7473437902
"32" "0" 0.1759208439 -0.3641456291
"33" "0" 2.0796943393 1.4908667722
"34" "1" -0.3254433962 0.8530563947
"35" "1" 0.5884549939 0.6126902046
"36" "1" -0.1528689552 1.1033870964
"37" "0" 0.0450926235 -0.3540433366
"38" "1" -0.2964585802 2.224300998
"39" "1" -0.842600735 -0.6472436862
"40" "1" -0.5727519739 -0.3520086473
"41" "0" 0.3852429002 -0.1704836038
"42" "1" -1.4149236315 -0.7969612442
"43" "1" 1.7795423138 -0.2486267163
"44" "1" -0.3842098676 -1.1254265556
"45" "1" 0.1570648767 1.119307745
"46" "1" 0.0699259143 1.5370182927
"47" "1" -0.1627453006 -1.3309267354
"48" "1" 1.0755591561 0.5101215215
"49" "1" 0.2684218432 0.7507874659
"50" "0" -0.1132520319 1.8898679782
"51" "1" -0.5405006563 -0.3870549701
"52" "1" -0.0516872528 1.7994054235
"53" "1" 1.7552906594 -0.3782241913
"54" "1" -0.8401782258 -0.1633003887
"55" "0" 2.1767439143 0.7019430001
"56" "0" 2.0092140273 1.9412226474
"57" "0" 1.9934442295 1.6256723653
"58" "0" 1.8879106638 1.8902233042
"59" "1" 0.406357427 -1.6464352322
"60" "0" -0.1594522475 0.2764960077
"61" "0" -0.2442380509 1.8674121
"62" "1" -0.9863426587 0.1443949195
"63" "1" -0.0490356205 -0.125718605
"64" "1" 0.3125349238 0.0991629504
"65" "1" 1.2701030283 -0.0751373861
"66" "1" -0.643858989 -2.686519562
"67" "0" 2.2265521951 3.4760873958
"68" "0" 2.2915294885 2.4562247541
"69" "1" -1.9512474647 -0.7110773926
"70" "0" -0.0083237276 1.8326125415
"71" "1" 0.0921367338 -2.8494670827
"72" "0" 0.2828264038 -0.0818011318
"73" "0" 1.7829054435 1.0050194176
"74" "1" 0.590119815 0.6457445889
"75" "0" 1.7595531175 -1.5275675533
"76" "1" 0.0023894178 1.231796406
"77" "1" -0.8983668817 -0.0256416339
"78" "0" 0.2071803994 2.1148103694
"79" "0" 0.1157071167 0.071661006
"80" "1" 0.7939568574 -0.1653423058
"81" "0" 1.9774779278 2.555662819
"82" "0" -0.1071507712 2.1079493071
"83" "0" -0.2494528638 0.1043191328
"84" "0" 1.6028460784 1.4320079669
"85" "0" -0.1887253186 0.1890979378
"86" "1" -1.0981625194 -0.0139790932
"87" "1" -0.0105130685 -0.35899496
"88" "0" 0.031296131 2.2318543474
"89" "1" -1.2889381388 -0.4578145525
"90" "1" 0.3597423095 -0.8859407712
"91" "0" -0.2368160669 0.0730945028
"92" "0" -0.0062220178 1.8432785406
"93" "0" 1.8807843301 1.9517001302
"94" "0" 2.0855240818 1.339683745
"95" "1" 1.3711057185 0.5916818412
"96" "1" 0.2117470408 1.330950057
"97" "0" 0.1320503792 0.1555240087
"98" "0" -0.6021533223 -0.0958492803
"99" "1" 0.0378216444 0.6598757019
"100" "0" 1.9995508769 1.5494448073
"101" "1" 2.0893171856 0.8845549649
"102" "1" 3.4805846306 -0.9268850035
"103" "0" -0.0812909062 0.1557423125
"104" "1" 0.2264345729 -1.3251551689
"105" "0" -0.1772226114 2.0490749335
"106" "1" 1.6521138162 -0.5056653043
"107" "0" 0.0584942047 -0.0129039915
"108" "0" -0.2533011841 0.2048699476
"109" "1" -0.1780241347 -0.3547621705
"110" "0" -0.0139391883 2.0015102524
"111" "1" -1.0315479888 -0.5793939387
"112" "0" 0.30482524 1.6531298271
"113" "0" 2.23448758 -0.1736126961
"114" "0" 1.5130723327 0.2395738492
"115" "0" 2.1312919303 -0.6474397785
"116" "1" -0.3897270324 -0.5016446954
"117" "0" 0.2161477217 1.7663249302
"118" "0" 2.0521040159 1.4539127353
"119" "1" 0.0094073737 -1.0547838303
"120" "1" 0.0420553363 0.055296163
"121" "0" 1.7590379023 2.4505359718
"122" "1" 0.3705722208 1.7023373734
"123" "0" 1.7624571098 0.9260351845
"124" "1" -0.8067585029 -0.2342429459
"125" "0" 0.1018603671 1.7332808443
"126" "0" 1.950869094 1.5382864214
"127" "0" 0.0892642285 1.7675154408
"128" "1" -1.0030123021 1.0428101602
"129" "0" -0.0594758291 2.0505852684
"130" "1" 0.3226980572 -1.426270423
"131" "1" -1.3190222555 -0.2124634186
"132" "0" 0.0521607022 0.3168328681
"133" "1" -1.1778535469 2.4772541207
"134" "1" 0.5409863815 0.276647324
"135" "1" -1.2468987066 1.2691959921
"136" "1" -0.7129769121 -0.7128309005
"137" "1" 0.32525207 0.116932162
"138" "0" 0.0915008768 0.0320451381
"139" "1" -0.9393072963 -1.2673526838
"140" "0" 0.0960748784 0.0303328045
"141" "1" -1.4448553441 -0.6994754405
"142" "1" 1.8395376443 -0.1361496751
"143" "0" -0.0878849551 -0.0417496941
"144" "1" 1.4634106664 -1.4165394674
"145" "0" 2.1230972508 -0.5366277545
"146" "0" 2.0516446594 2.9441470327
"147" "1" -0.0101457214 -0.847138851
"148" "0" 0.2844813837 0.127587311
