"valence" "year" "acousticness" "danceability" "duration" "energy" "instrumentalness" "key" "liveness" "loudness" "mode" "popularity" "speechiness" "tempo" "pop.class"
"161704" 0.647 1975 0.449 0.376 298840 0.827 0.00788 "B" 0.466 -7.604 1 25 0.399 170.475 "C"
"168077" 0.15 2008 0.899 0.508 236800 0.169 1.12e-05 "Ab" 0.136 -11.332 1 42 0.0553 107.477 "B"
"35922" 0.423 2007 0.0185 0.47 301093 0.878 0.0839 "B" 0.276 -5.576 0 65 0.0377 150.093 "A"
"135823" 0.302 1995 0.0384 0.176 142200 0.98 0.552 "B" 0.237 -3.154 1 36 0.0721 172.566 "C"
"165395" 0.828 1994 0.531 0.705 187800 0.625 7.73e-06 "G" 0.348 -11.963 0 38 0.0639 97.831 "C"
"38184" 0.489 2018 0.371 0.856 324189 0.694 0 "D" 0.109 -4.393 1 68 0.169 122.08 "A"
"121540" 0.963 2003 0.523 0.819 178680 0.615 1.48e-06 "G" 0.0794 -8.834 1 47 0.092 100.364 "B"
"14108" 0.809 1992 0.00556 0.737 262800 0.89 0.00171 "E" 0.0801 -8.443 1 59 0.158 105.848 "B"
"11675" 0.411 1980 0.36 0.602 312773 0.732 0.000314 "D" 0.0755 -8.29 1 61 0.0282 129.355 "A"
"104983" 0.463 2001 0.137 0.453 514867 0.562 0.0029 "F" 0.0463 -10.233 0 49 0.045 156.654 "B"
"143894" 0.151 1959 0.987 0.527 169067 0.0359 7.27e-05 "Bb" 0.121 -22.041 1 16 0.0446 69.718 "D"
"139363" 0.42 2013 0.167 0.697 374240 0.736 0.00878 "B" 0.124 -6.594 0 58 0.0384 120 "B"
"100859" 0.88 1980 0.11 0.467 190893 0.825 0.0451 "F" 0.11 -4.847 0 26 0.0317 75.463 "C"
"127355" 0.0489 1952 0.991 0.428 210960 0.0864 0 "Ab" 0.118 -16.968 1 0 0.0932 81.88 "D"
"95007" 0.799 1951 0.991 0.793 115453 0.0857 0.949 "Eb" 0.107 -26.601 1 0 0.198 170.824 "D"
"73898" 0.516 2014 0.000926 0.855 270054 0.856 0.00271 "A" 0.959 -2.574 0 61 0.105 127.989 "A"
"151436" 0.567 1999 0.497 0.373 148827 0.35 0 "Bb" 0.12 -7.867 1 43 0.0333 144.298 "B"
"10865" 0.762 1976 0.00578 0.426 280360 0.903 0.00945 "Db" 0.0945 -9.661 1 58 0.0389 122.201 "B"
"4006" 0.97 1941 0.974 0.76 166053 0.584 0.612 "C" 0.0294 -5.147 1 0 0.0649 133.006 "D"
"127047" 0.771 1951 0.94 0.66 173179 0.446 4.19e-05 "F" 0.118 -6.068 1 2 0.0456 143.585 "D"
"147380" 0.646 1978 0.00833 0.565 643227 0.743 0 "A" 0.906 -10.806 0 27 0.186 144.25 "C"
"139167" 0.255 2012 0.484 0.602 349147 0.771 0 "Db" 0.373 -6.109 0 48 0.0556 127.99 "B"
"29532" 0.331 1975 0.923 0.554 169560 0.211 0.000438 "Db" 0.117 -15.603 1 54 0.029 130.071 "B"
"117821" 0.375 1984 0.416 0.424 286467 0.253 1.4e-06 "D" 0.975 -20.57 1 26 0.0399 116.348 "C"
"57293" 0.533 2020 0.171 0.732 414820 0.634 0 "Db" 0.204 -5.587 1 72 0.36 173.886 "A"
"16059" 0.371 2002 0.0122 0.363 231200 0.906 0 "Db" 0.172 -4.415 1 63 0.0615 181.964 "A"
"141060" 0.716 1930 0.993 0.842 170000 0.027 3e-04 "E" 0.147 -20.888 1 0 0.256 120.628 "D"
"130764" 0.0638 1970 0.97 0.239 50060 0.00157 0 "G" 0.124 -42.488 0 30 0.0514 94.32 "C"
"110833" 0.559 1950 0.967 0.404 198187 0.379 0.0738 "Db" 0.0976 -8.809 1 0 0.0352 126.524 "D"
"110208" 0.0762 1946 0.921 0.188 206040 0.0203 0.925 "Eb" 0.201 -33.303 1 0 0.0401 58.344 "D"
"134425" 0.411 1988 0.31 0.487 301600 0.256 0.000208 "E" 0.033 -16.138 1 32 0.045 142.949 "C"
"53726" 0.449 2002 0.244 0.371 238440 0.666 0 "C" 0.151 -3.336 1 50 0.0301 185.476 "B"
"159465" 0.542 1964 0.801 0.699 307813 0.19 0.000486 "Ab" 0.149 -17.218 1 9 0.0439 108.447 "D"
"35311" 0.59 2003 0.0106 0.463 251867 0.925 0.027 "B" 0.189 -5.74 1 62 0.0747 158.337 "A"
"155531" 0.0611 2020 0.00337 0.824 281273 0.555 6.42e-06 "Db" 0.217 -5.817 1 69 0.05 120.002 "A"
"162456" 0.536 1979 0.0149 0.358 216133 0.826 0.0129 "E" 0.145 -12.278 0 20 0.0462 152.846 "D"
"125688" 0.17 1942 0.0469 0.606 197825 0.2 0.883 "F" 0.111 -18.858 1 0 0.0341 80.931 "D"
"27350" 0.364 1964 0.904 0.415 163800 0.242 0 "C" 0.096 -15.81 1 38 0.028 98.759 "C"
"67121" 0.715 1980 0.0191 0.562 281360 0.506 2.31e-06 "D" 0.33 -9.148 1 40 0.0257 105.745 "C"
"120087" 0.905 1996 0.48 0.754 250440 0.615 3.45e-06 "A" 0.0484 -9.862 1 39 0.103 105.588 "C"
