Asvi,AsviR,Sexe,Age,Tage,Couple,Vmatri,Diplome,Occupa,Work,statut,Herit,Pere,Mere,Gparp,gparm,Jgrav,Livep,Epalo,fepsal,vmob,livdf,pel,cel,qpep,asdecv,Retrait,Qpea,Urbani,Zeat,Nbenf,Nbenfq,Iogoc,terre,dette,bdetre,hdetvo,ident
AsO,0,Sh,60,T70,CouO,Vmar,Db+5,Oret,WctA,spriv,HerO,PerN,MerN,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoO,ldfO,pelO,celN,qppN,asdN,RepN,QpeO,U5,Zidf,3,Nb>3,Ipro,terN,detN,bemN,hevN,00001
AsO,0,Sf,60,T70,CouO,Vmar,Db+5,Oret,WctA,spriv,HerO,PerN,MerO,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoN,ldfO,pelO,celN,qppO,asdN,RepN,QpeN,U5,Zidf,3,Nb>3,Ipro,terN,detN,bemN,hevN,00002
AsN,1,Sh,33,T40,CouO,Vmar,Db+5,Oact,WctA,spriv,HerN,PerO,MerO,GppN,gpmO,JgvN,LivO,EplO,fesN,vmoO,ldfO,pelO,celO,qppN,asdN,RepN,QpeO,U5,Zidf,0,Nbe0,Iloc,terN,detN,bemN,hevN,00003
AsN,1,Sf,27,T30,CouO,Vmar,Db+5,Oact,WctA,spub,HerN,PerO,MerO,GppN,gpmO,JgvO,LivO,EplO,fesN,vmoN,ldfO,pelO,celN,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Iloc,terN,detN,bemN,hevN,00004
AsN,1,Sh,37,T40,CouN,Vcel,Db+5,Oact,WctA,spriv,HerN,PerO,MerO,GppN,gpmN,JgvO,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Ipro,terN,detO,bemO,hevN,00005
AsO,0,Sh,40,T50,CouN,Vcel,Db+5,Oact,WctA,spriv,HerN,PerO,MerO,GppN,gpmN,JgvO,LivN,EplN,fesO,vmoO,ldfN,pelN,celN,qppN,asdN,RepO,QpeN,U5,Zidf,0,Nbe0,Ipro,terN,detO,bemO,hevN,00006
AsN,1,Sh,25,T30,CouN,Vcel,Db+5,Oact,WctA,spriv,HerN,PerO,MerO,GppO,gpmO,JgvN,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepO,QpeN,U5,Zidf,0,Nbe0,Iloc,terN,detO,bemN,hevN,00007
AsN,1,Sf,54,T60,CouN,Vsep,Db+2,Oact,WctA,spriv,HerN,PerO,MerO,GppN,gpmN,JgvO,LivN,EplN,fesO,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,1,Nbe1,Iloc,terN,detO,bemN,hevN,00008
AsN,1,Sh,33,T40,CouN,Vcel,Db+5,Oact,WctA,spriv,HerO,PerO,MerO,GppN,gpmO,JgvN,LivO,EplO,fesN,vmoN,ldfO,pelO,celN,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Iloc,terN,detN,bemN,hevN,00009
AsO,0,Sh,45,T50,CouO,Vmar,Dsan,Oact,WctC,spriv,HerN,PerO,MerO,GppN,gpmO,JgvO,LivN,EplN,fesO,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,1,Nbe1,Ipro,terN,detN,bemN,hevN,00010
