"JOUR","O3obs","MOCAGE","TEMPE","RMH2O","NO2","NO","STATION","VentMOD","VentANG"
1,91,93.2,21.5,0.00847,1.602,0.424,Aix,9.5,-0.6435
1,100,104.6,20.2,0.00881,2.121,0.531,Aix,8.01,-0.04996
0,82,103.6,17.4,0.00951,1.657,0.467,Aix,9.3771,-0.12832
0,94,94.8,18.8,0.00855,2.35,0.701,Aix,9.4578,-0.34516
0,107,99,23.7,0.00731,1.653,0.452,Aix,7.8791,-0.41822
0,150,114.3,23.6,0.01182,5.316,1.343,Aix,6.3127,0.06341
0,164,127.7,26.6,0.00937,2.841,0.55,Aix,4.8042,0.04164
1,135,164.3,23.5,0.01087,15.733,2.911,Aix,4.8795,0.79989
1,121,144.1,23.3,0.01168,8.807,1.867,Aix,5.1088,0.70226
0,129,112.8,23.7,0.01091,18.911,4.7,Aix,5.4406,0.942
0,118,72.6,22.2,0.01626,4.258,1.304,Aix,5.9641,-0.60661
0,48,146,14.3,0.01453,13.664,2.976,Aix,5.8034,-0.03447
0,97,87.5,18.5,0.00959,4.126,1.271,Aix,7.5273,0.33856
1,83,158.9,15.4,0.01456,10.254,1.839,Aix,2.5942,0.48089
1,73,112.6,19.6,0.0122,1.955,0.445,Aix,8.8752,-0.58488
0,91,76.9,21.7,0.00685,1.382,0.429,Aix,12.3004,-0.63537
0,70,81.8,24.4,0.0089,1.567,0.443,Aix,9.5,-0.6435
0,125,178.6,24.8,0.01206,8.216,1.139,Aix,6.5192,0.72027
0,168,127.9,28.2,0.01387,4.632,0.861,Aix,7.1309,0.38832
0,113,109.3,26,0.0122,12.29,2.958,Aix,5.9816,0.66691
1,118,113,26.2,0.01064,4.615,0.995,Aix,6.2769,0.53496
1,130,136.3,27.2,0.00912,4.276,0.827,Aix,6.0033,0.52328
0,179,141.1,27.8,0.0101,7.656,1.75,Aix,5.1313,0.57719
0,196,131.4,29.1,0.00919,5.208,1.016,Aix,6.0902,0.51507
0,160,141.1,29.5,0.01033,5.043,0.9,Aix,6.1221,0.66964
0,180,163.6,29.5,0.00789,8.52,1.385,Aix,5.5227,0.55284
0,103,141.6,29.1,0.00663,6.654,1.341,Aix,5.2839,0.51445
1,214,159.9,33.2,0.01431,4.122,0.563,Aix,7.2615,0.39585
1,178,138.1,30.5,0.01509,6.835,1.174,Aix,6.0877,0.73892
0,160,155.1,30.9,0.01526,2.489,0.349,Aix,7.2422,-0.61864
